time,value,rainfall
28332,1.00,0.01
28351,0.00,0.01
28370,0.00,0.01
28391,3.00,0.01
28410,4.00,0.01
28430,1.00,0.01
28450,0.00,0.01
28470,0.00,0.01
28489,2.00,0.01
28510,2.00,0.01
28529,2.00,0.01
28549,0.00,0.01
28568,0.00,0.01
28589,1.00,0.01
28608,5.00,0.01
28627,4.00,0.01
28648,2.00,0.01
28667,0.00,0.01
28687,0.00,0.01
28706,2.00,0.01
28727,4.00,0.01
28746,2.00,0.01
28766,0.00,0.01
28786,0.00,0.01
28806,0.00,0.01
28825,3.00,0.01
28846,4.00,0.01
28865,3.00,0.01
28884,1.00,0.01
28904,1.00,0.01
28924,2.00,0.01
28944,4.00,0.01
28963,0.00,0.01
28984,1.00,0.01
29003,2.00,0.01
29023,4.00,0.01
29043,4.00,0.01
29063,4.00,0.01
29082,1.00,0.01
29102,0.00,0.01
29122,1.00,0.01
29142,4.00,0.01
29161,5.00,0.01
29181,1.00,0.01
29201,1.00,0.01
29220,0.00,0.01
29241,4.00,0.01
29260,5.00,0.01
29280,3.00,0.01
29299,0.00,0.01
29320,0.00,0.01
29339,3.00,0.01
29359,4.00,0.01
29379,4.00,0.01
29399,2.00,0.01
29418,0.00,0.01
29437,0.00,0.01
29458,2.00,0.01
29477,2.00,0.01
29497,2.00,0.01
29517,0.00,0.01
29537,0.00,0.01
29556,2.00,0.01
29577,6.00,0.01
29596,4.00,0.01
29616,1.00,0.01
29635,0.00,0.01
29656,1.00,0.01
29675,6.00,0.01
29694,5.00,0.01
29715,3.00,0.01
29734,1.00,0.01
29754,1.00,0.01
29774,3.00,0.01
29794,4.00,0.01
29813,2.00,0.01
29833,1.00,0.01
29853,0.00,0.01
29873,4.00,0.01
29892,4.00,0.01
29913,2.00,0.01
29932,0.00,0.01
29952,0.00,0.01
29971,0.00,0.01
29991,5.00,0.01
30011,3.00,0.01
30030,2.00,0.01
30051,1.00,0.01
30070,0.00,0.01
30090,2.00,0.01
30110,3.00,0.01
30130,2.00,0.01
30149,1.00,0.01
30169,1.00,0.01
30189,1.00,0.01
30209,6.00,0.01
30228,3.00,0.01
30248,1.00,0.01
30268,0.00,0.01
30287,1.00,0.01
30308,4.00,0.01
30327,3.00,0.01
30347,3.00,0.01
30366,0.00,0.01
30387,0.00,0.01
30406,1.00,0.01
30426,3.00,0.01
30446,2.00,0.01
30466,0.00,0.01
30485,0.00,0.01
30505,3.00,0.01
30525,4.00,0.01
30544,5.00,0.01
30564,1.00,0.01
30584,1.00,0.01
30604,2.00,0.01
30623,4.00,0.01
30644,5.00,0.01
30663,2.00,0.01
30683,0.00,0.01
30702,2.00,0.01
30723,3.00,0.01
30742,3.00,0.01
30761,3.00,0.01
30782,2.00,0.01
30801,0.00,0.01
30821,3.00,0.01
30841,1.00,0.01
30861,3.00,0.01
30880,0.00,0.01
30900,0.00,0.01
30920,1.00,0.01
30940,4.00,0.01
30959,3.00,0.01
30980,2.00,0.01
30999,0.00,0.01
