time,rainfall,value
30810,0.00,15.00
30830,0.00,15.00
30851,0.00,15.00
30872,0.00,15.00
30893,0.00,15.00
30913,0.00,15.00
30935,0.00,15.00
30955,0.00,15.00
30976,0.00,15.00
30997,0.00,15.00
31017,0.00,15.00
31038,0.00,15.00
31059,0.00,15.00
31080,1.00,15.00
31100,1.00,15.00
31121,0.00,15.00
31142,0.00,15.00
31163,1.00,15.00
31183,0.00,15.00
31205,0.00,15.00
31225,0.00,15.00
31246,0.00,15.00
31267,0.00,15.00
31288,1.00,15.00
31308,0.00,15.00
31330,0.00,15.00
31350,1.00,15.00
31371,0.00,15.00
31392,0.00,15.00
31413,1.00,15.00
31433,1.00,15.00
31454,0.00,15.00
31475,0.00,15.00
31496,0.00,15.00
31516,0.00,15.00
31538,0.00,15.00
31558,0.00,15.00
31579,1.00,15.00
31600,0.00,15.00
31621,0.00,15.00
31641,0.00,15.00
31663,0.00,15.00
31683,0.00,15.00
31704,0.00,15.00
31725,0.00,15.00
31746,0.00,15.00
31766,2.00,15.00
31787,0.00,15.00
31808,0.00,15.00
31828,0.00,15.00
31849,0.00,15.00
31870,0.00,15.00
31891,0.00,15.00
31911,0.00,15.00
31933,0.00,15.00
31953,0.00,15.00
31974,0.00,15.00
31995,0.00,15.00
32016,1.00,15.00
32036,0.00,15.00
32058,0.00,15.00
32078,0.00,15.00
32099,0.00,15.00
32119,0.00,15.00
32141,0.00,15.00
32161,1.00,15.00
